Plate	Well	Well Number	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line or Strain]	Term Source 2 REF	Term Source 2 Accession	Protein	Abbreviation	Protein sequence (aa)	UniProt	Addgene ID	Subcellular	Gene Symbol	Analysis Gene Annotation Build	Gene Annotation Comments	Control Type	Control Comments	Quality Control	Quality Control Comments	Channels	Comments
WS_MCF10A_landmarks_20180613__Meas_01	K3		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K4		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K5		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K6		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K7		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K8		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K9		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K10		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K11		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K12		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K13		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K14		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K15		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K16		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K17		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K18		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K19		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K20		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K21		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K22		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K23		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K24		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P1		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P2		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P3		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P4		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P5		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P6		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P7		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P8		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P9		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P10		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P11		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P12		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P13		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P14		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P15		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P16		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P17		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P18		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P19		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P20		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P21		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P22		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P23		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	P24		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L1		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L2		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L3		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L4		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L5		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L6		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L7		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L8		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L9		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L10		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L11		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L12		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L13		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L14		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L15		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L16		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L17		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L18		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L19		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L20		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L21		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L22		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L23		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	L24		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O1		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O2		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O3		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O4		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O5		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O6		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O7		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O8		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O9		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O10		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O11		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O12		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O13		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O15		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O16		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O17		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O18		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O19		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O20		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O21		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O22		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O23		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	O24		Homo sapiens			MCF10A			ER-Golgi intermediate compartment 53kDa	ERGIC53	1-517	Q9D0F3	134859	ER-Golgi intermediate compartment								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M1		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M2		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
