Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Protein Name],Comment [Protein Name Abbreviation],Protein Sequence (aa),UniProt ID,Addgene ID,Experimental Condition [Subcellular Localization],Channels
WS_MCF10A_Landmark_20180613/Meas_01,K2,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K3,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K4,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K5,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K6,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K7,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K8,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K9,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K10,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K11,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K12,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K13,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K14,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K15,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K16,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K17,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K18,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K19,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K20,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K21,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K22,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K23,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K24,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P1,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P2,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P3,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P4,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P5,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P6,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P7,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P8,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P9,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P10,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P11,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P12,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P13,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P14,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P15,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P16,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P17,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P18,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P19,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P20,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P21,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P22,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P23,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,P24,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L1,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L2,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L3,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L4,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L5,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L6,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L7,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L8,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L9,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L10,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L11,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L12,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L13,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L14,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L15,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L16,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L17,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L18,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L19,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L20,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L21,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L22,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L23,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,L24,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,O1,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,O2,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,O3,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,O4,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,O5,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,O6,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,O7,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,ER-Golgi intermediate compartment 53kDa,ERGIC53,1-517,Q9D0F3,134859,ER-Golgi intermediate compartment,"EGFP (protein of interest), DRAQ5 (DNA)"
